 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
     1     0.000000000     0.000000000      1.931085211     0.597351103
     2     0.000000000     0.000000000      2.592123393     0.368409152
     3     0.000000000     0.000000000      2.096467257     0.282097136
     4     0.000000000     0.000000000      1.769817639     0.198408181
     5     0.000000000     0.000000000      1.481416316     0.144526584
     6     0.000000000     0.000000000      1.214590075     0.105673405
     7     0.000000000     0.000000000      0.960019981     0.077680441
     8     0.000000000     0.000000000      0.713294038     0.057684736
     9     0.000000000     0.000000000      0.471614825     0.044057208
    10     0.000000000     0.000000000      0.232999960     0.035814795
    11     0.000000000     0.000000000     -0.004148006     0.032428249
    12     0.000000000     0.000000000     -0.241262083     0.033718495
    13     0.000000000     0.000000000     -0.479767515     0.039826910
    14     0.000000000     0.000000000     -0.721235681     0.051241663
    15     0.000000000     0.000000000     -0.967594840     0.068896801
    16     0.000000000     0.000000000     -1.221535342     0.094358794
    17     0.000000000     0.000000000     -1.487257188     0.130393899
    18     0.000000000     0.000000000     -1.773556484     0.181061989
    19     0.000000000     0.000000000     -2.096052107     0.260582263
    20     0.000000000     0.000000000     -2.577674183     0.343869055
    21     0.000000000     0.000000000     -1.893345267     0.583169142
    22    -0.004683018    -0.002962969      0.000000000    -0.037500000
    23    -0.003209369    -0.001821998      0.000000000     0.000000000
    24    -0.002649728    -0.001301976      0.000000000     0.000000000
    25    -0.002215903    -0.000995396      0.000000000     0.000000000
    26    -0.001847442    -0.000789785      0.000000000     0.000000000
    27    -0.001510004    -0.000644808      0.000000000     0.000000000
    28    -0.001191179    -0.000540618      0.000000000     0.000000000
    29    -0.000884027    -0.000466460      0.000000000     0.000000000
    30    -0.000584344    -0.000416038      0.000000000     0.000000000
    31    -0.000289165    -0.000385650      0.000000000     0.000000000
    32     0.000003861    -0.000373312      0.000000000     0.000000000
    33     0.000296826    -0.000378355      0.000000000     0.000000000
    34     0.000591809    -0.000401305      0.000000000     0.000000000
    35     0.000891122    -0.000443987      0.000000000     0.000000000
    36     0.001197657    -0.000509905      0.000000000     0.000000000
    37     0.001515466    -0.000605085      0.000000000     0.000000000
    38     0.001851188    -0.000739855      0.000000000     0.000000000
    39     0.002216613    -0.000933284      0.000000000     0.000000000
    40     0.002644197    -0.001224060      0.000000000     0.000000000
    41     0.003190797    -0.001719534      0.000000000     0.000000000
    42     0.004599357    -0.002806582      0.000000000     0.000000000
    43    -0.008460960    -0.004980538      0.000000000    -0.037500000
    44    -0.006698935    -0.003934600      0.000000000     0.000000000
    45    -0.005472595    -0.003077002      0.000000000     0.000000000
    46    -0.004568370    -0.002500543      0.000000000     0.000000000
    47    -0.003794582    -0.002096225      0.000000000     0.000000000
    48    -0.003093882    -0.001804911      0.000000000     0.000000000
    49    -0.002436395    -0.001593239      0.000000000     0.000000000
    50    -0.001806319    -0.001441609      0.000000000     0.000000000
    51    -0.001193723    -0.001338153      0.000000000     0.000000000
    52    -0.000591649    -0.001275756      0.000000000     0.000000000
    53     0.000005398    -0.001250559      0.000000000     0.000000000
    54     0.000602278    -0.001261256      0.000000000     0.000000000
    55     0.001203828    -0.001308863      0.000000000     0.000000000
    56     0.001815452    -0.001396910      0.000000000     0.000000000
    57     0.002443931    -0.001532111      0.000000000     0.000000000
    58     0.003098853    -0.001725773      0.000000000     0.000000000
    59     0.003795357    -0.001996640      0.000000000     0.000000000
    60     0.004561875    -0.002376630      0.000000000     0.000000000
    61     0.005452710    -0.002922209      0.000000000     0.000000000
    62     0.006648715    -0.003737109      0.000000000     0.000000000
    63     0.008349382    -0.004734359      0.000000000     0.000000000
    64    -0.011976261    -0.007036500      0.000000000    -0.037500000
    65    -0.010009492    -0.005996105      0.000000000     0.000000000
    66    -0.008367220    -0.005091900      0.000000000     0.000000000
    67    -0.007001795    -0.004368612      0.000000000     0.000000000
    68    -0.005816630    -0.003821687      0.000000000     0.000000000
    69    -0.004738504    -0.003410862      0.000000000     0.000000000
    70    -0.003728577    -0.003105104      0.000000000     0.000000000
    71    -0.002762954    -0.002882856      0.000000000     0.000000000
    72    -0.001826023    -0.002729870      0.000000000     0.000000000
    73    -0.000906479    -0.002637160      0.000000000     0.000000000
    74     0.000004715    -0.002599715      0.000000000     0.000000000
    75     0.000915604    -0.002615805      0.000000000     0.000000000
    76     0.001834191    -0.002686748      0.000000000     0.000000000
    77     0.002769371    -0.002817100      0.000000000     0.000000000
    78     0.003732164    -0.003015298      0.000000000     0.000000000
    79     0.004737664    -0.003294875      0.000000000     0.000000000
    80     0.005808792    -0.003676394      0.000000000     0.000000000
    81     0.006982580    -0.004189506      0.000000000     0.000000000
    82     0.008328452    -0.004872698      0.000000000     0.000000000
    83     0.009937478    -0.005730838      0.000000000     0.000000000
    84     0.011853962    -0.006722893      0.000000000     0.000000000
    85    -0.015386404    -0.009223729      0.000000000    -0.037500000
    86    -0.013185557    -0.008208498      0.000000000     0.000000000
    87    -0.011207784    -0.007296935      0.000000000     0.000000000
    88    -0.009452262    -0.006523750      0.000000000     0.000000000
    89    -0.007873345    -0.005897071      0.000000000     0.000000000
    90    -0.006420238    -0.005405258      0.000000000     0.000000000
    91    -0.005053318    -0.005028502      0.000000000     0.000000000
    92    -0.003745217    -0.004749456      0.000000000     0.000000000
    93    -0.002476212    -0.004555029      0.000000000     0.000000000
    94    -0.001231271    -0.004436324      0.000000000     0.000000000
    95     0.000002010    -0.004388160      0.000000000     0.000000000
    96     0.001234831    -0.004408698      0.000000000     0.000000000
    97     0.002478337    -0.004499298      0.000000000     0.000000000
    98     0.003744750    -0.004664625      0.000000000     0.000000000
    99     0.005048747    -0.004912987      0.000000000     0.000000000
   100     0.006409438    -0.005256777      0.000000000     0.000000000
   101     0.007853159    -0.005712526      0.000000000     0.000000000
   102     0.009417815    -0.006299206      0.000000000     0.000000000
   103     0.011151802    -0.007028196      0.000000000     0.000000000
   104     0.013098541    -0.007892451      0.000000000     0.000000000
   105     0.015259215    -0.008860280      0.000000000     0.000000000
   106    -0.018725473    -0.011634385      0.000000000    -0.037500000
   107    -0.016263834    -0.010638388      0.000000000     0.000000000
   108    -0.013977165    -0.009737270      0.000000000     0.000000000
   109    -0.011872713    -0.008950091      0.000000000     0.000000000
   110    -0.009929244    -0.008287961      0.000000000     0.000000000
