 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
     1     0.000000000     0.000000000      2.863184112     0.848501395
     2     0.000000000     0.000000000      3.749386845     0.434188246
     3     0.000000000     0.000000000      2.769592984     0.285843710
     4     0.000000000     0.000000000      2.018630026     0.164783649
     5     0.000000000     0.000000000      1.320673494     0.097972707
     6     0.000000000     0.000000000      0.651063579     0.060993420
     7     0.000000000     0.000000000     -0.006937852     0.047523997
     8     0.000000000     0.000000000     -0.664774779     0.055226436
     9     0.000000000     0.000000000     -1.333787994     0.086150427
    10     0.000000000     0.000000000     -2.030207547     0.146319529
    11     0.000000000     0.000000000     -2.777596143     0.259183995
    12     0.000000000     0.000000000     -3.741429449     0.400558068
    13     0.000000000     0.000000000     -2.817797277     0.831504432
    14    -0.007102622    -0.004306712      0.000000000    -0.062500125
    15    -0.004680112    -0.002547179      0.000000000     0.000000000
    16    -0.003518850    -0.001755037      0.000000000     0.000000000
    17    -0.002539763    -0.001320084      0.000000000     0.000000000
    18    -0.001656837    -0.001065073      0.000000000     0.000000000
    19    -0.000816534    -0.000926158      0.000000000     0.000000000
    20     0.000005245    -0.000875856      0.000000000     0.000000000
    21     0.000826684    -0.000906162      0.000000000     0.000000000
    22     0.001665797    -0.001023981      0.000000000     0.000000000
    23     0.002546085    -0.001255300      0.000000000     0.000000000
    24     0.003518838    -0.001661286      0.000000000     0.000000000
    25     0.004665874    -0.002411680      0.000000000     0.000000000
    26     0.007004083    -0.004087725      0.000000000     0.000000000
    27    -0.013037091    -0.007636716      0.000000000    -0.062500013
    28    -0.009786970    -0.006016368      0.000000000     0.000000000
    29    -0.007284438    -0.004751740      0.000000000     0.000000000
    30    -0.005254296    -0.003956137      0.000000000     0.000000000
    31    -0.003419552    -0.003464945      0.000000000     0.000000000
    32    -0.001686026    -0.003190691      0.000000000     0.000000000
    33     0.000004351    -0.003090749      0.000000000     0.000000000
    34     0.001693781    -0.003151810      0.000000000     0.000000000
    35     0.003424107    -0.003385145      0.000000000     0.000000000
    36     0.005251939    -0.003830760      0.000000000     0.000000000
    37     0.007268019    -0.004572008      0.000000000     0.000000000
    38     0.009735635    -0.005766071      0.000000000     0.000000000
    39     0.012914236    -0.007308779      0.000000000     0.000000000
    40    -0.018631532    -0.011537208      0.000000000    -0.062499750
    41    -0.014630835    -0.009930683      0.000000000     0.000000000
    42    -0.011131559    -0.008623102      0.000000000     0.000000000
    43    -0.008055301    -0.007654431      0.000000000     0.000000000
    44    -0.005250749    -0.007011751      0.000000000     0.000000000
    45    -0.002593004    -0.006638938      0.000000000     0.000000000
    46    -0.000001872    -0.006500520      0.000000000     0.000000000
    47     0.002587624    -0.006583992      0.000000000     0.000000000
    48     0.005239971    -0.006899575      0.000000000     0.000000000
    49     0.008033691    -0.007480206      0.000000000     0.000000000
    50     0.011089533    -0.008379206      0.000000000     0.000000000
    51     0.014553196    -0.009609974      0.000000000     0.000000000
    52     0.018502166    -0.011137717      0.000000000     0.000000000
    53    -0.024051897    -0.016126726      0.000000000    -0.062500125
    54    -0.019260831    -0.014570865      0.000000000     0.000000000
    55    -0.014871619    -0.013274879      0.000000000     0.000000000
    56    -0.010847617    -0.012270098      0.000000000     0.000000000
    57    -0.007095441    -0.011561835      0.000000000     0.000000000
    58    -0.003513449    -0.011136091      0.000000000     0.000000000
    59    -0.000012163    -0.010974332      0.000000000     0.000000000
    60     0.003486956    -0.011068875      0.000000000     0.000000000
    61     0.007062034    -0.011425554      0.000000000     0.000000000
    62     0.010801193    -0.012061235      0.000000000     0.000000000
    63     0.014804093    -0.012989245      0.000000000     0.000000000
    64     0.019163095    -0.014205571      0.000000000     0.000000000
    65     0.023918356    -0.015682640      0.000000000     0.000000000
    66    -0.029312931    -0.021508399      0.000000000    -0.062500125
    67    -0.023712766    -0.019999286      0.000000000     0.000000000
    68    -0.018476411    -0.018739623      0.000000000     0.000000000
    69    -0.013565349    -0.017744426      0.000000000     0.000000000
    70    -0.008909711    -0.017024853      0.000000000     0.000000000
    71    -0.004424789    -0.016581273      0.000000000     0.000000000
    72    -0.000025133    -0.016409183      0.000000000     0.000000000
    73     0.004372134    -0.016505603      0.000000000     0.000000000
    74     0.008849656    -0.016872383      0.000000000     0.000000000
    75     0.013492329    -0.017513283      0.000000000     0.000000000
    76     0.018384534    -0.018428023      0.000000000     0.000000000
    77     0.023597319    -0.019606742      0.000000000     0.000000000
    78     0.029173453    -0.021036452      0.000000000     0.000000000
    79    -0.034412104    -0.027699652      0.000000000    -0.062499750
