 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
     1     0.000000000     0.000000000      3.899195053     1.103813373
     2     0.000000000     0.000000000      4.832664641     0.438072379
     3     0.000000000     0.000000000      3.003618552     0.232663924
     4     0.000000000     0.000000000      1.468134179     0.097911442
     5     0.000000000     0.000000000     -0.010466554     0.057640751
     6     0.000000000     0.000000000     -1.488422368     0.085112669
     7     0.000000000     0.000000000     -3.021519967     0.205209623
     8     0.000000000     0.000000000     -4.834421860     0.397037836
     9     0.000000000     0.000000000     -3.848781675     1.085663003
    10    -0.009942673    -0.005907521      0.000000000    -0.093750000
    11    -0.006062765    -0.003438905      0.000000000     0.000000000
    12    -0.003835281    -0.002394121      0.000000000     0.000000000
    13    -0.001859772    -0.001915306      0.000000000     0.000000000
    14     0.000005825    -0.001759255      0.000000000     0.000000000
    15     0.001870163    -0.001871260      0.000000000     0.000000000
    16     0.003840072    -0.002300573      0.000000000     0.000000000
    17     0.006053736    -0.003279298      0.000000000     0.000000000
    18     0.009834677    -0.005627393      0.000000000     0.000000000
    19    -0.018468237    -0.011364455      0.000000000    -0.093750000
    20    -0.012681519    -0.009110888      0.000000000     0.000000000
    21    -0.007948710    -0.007500603      0.000000000     0.000000000
    22    -0.003865632    -0.006654642      0.000000000     0.000000000
    23    -0.000000987    -0.006366788      0.000000000     0.000000000
    24     0.003860103    -0.006572725      0.000000000     0.000000000
    25     0.007930590    -0.007328842      0.000000000     0.000000000
    26     0.012626888    -0.008830434      0.000000000     0.000000000
    27     0.018339929    -0.010968564      0.000000000     0.000000000
    28    -0.026501981    -0.018522066      0.000000000    -0.093750000
    29    -0.018898595    -0.016320737      0.000000000     0.000000000
    30    -0.012108132    -0.014715536      0.000000000     0.000000000
    31    -0.005915341    -0.013737504      0.000000000     0.000000000
    32    -0.000017080    -0.013385258      0.000000000     0.000000000
    33     0.005876105    -0.013629765      0.000000000     0.000000000
    34     0.012051274    -0.014494711      0.000000000     0.000000000
    35     0.018807978    -0.015981035      0.000000000     0.000000000
    36     0.026366268    -0.018063123      0.000000000     0.000000000
    37    -0.034177533    -0.027443255      0.000000000    -0.093750000
    38    -0.024758804    -0.025350877      0.000000000     0.000000000
    39    -0.016068737    -0.023807591      0.000000000     0.000000000
    40    -0.007913192    -0.022846180      0.000000000     0.000000000
    41    -0.000038134    -0.022483336      0.000000000     0.000000000
    42     0.007831599    -0.022724561      0.000000000     0.000000000
    43     0.015971147    -0.023563033      0.000000000     0.000000000
    44     0.024636271    -0.024982872      0.000000000     0.000000000
    45     0.034029645    -0.026954553      0.000000000     0.000000000
    46    -0.041480178    -0.038164990      0.000000000    -0.093750000
    47    -0.030294271    -0.036176953      0.000000000     0.000000000
    48    -0.019804248    -0.034716160      0.000000000     0.000000000
    49    -0.009804410    -0.033801589      0.000000000     0.000000000
    50    -0.000060798    -0.033452107      0.000000000     0.000000000
    51     0.009678536    -0.033674264      0.000000000     0.000000000
    52     0.019666386    -0.034462014      0.000000000     0.000000000
    53     0.030140100    -0.035797680      0.000000000     0.000000000
    54     0.041312933    -0.037663473      0.000000000     0.000000000
    55    -0.048399879    -0.050617480      0.000000000    -0.093750000
    56    -0.035522917    -0.048733856      0.000000000     0.000000000
    57    -0.023322087    -0.047353085      0.000000000     0.000000000
    58    -0.011583833    -0.046489741      0.000000000     0.000000000
    59    -0.000083194    -0.046157107      0.000000000     0.000000000
    60     0.011414470    -0.046360914      0.000000000     0.000000000
    61     0.023144787    -0.047096499      0.000000000     0.000000000
    62     0.035335883    -0.048351564      0.000000000     0.000000000
    63     0.048206852    -0.050111828      0.000000000     0.000000000
    64    -0.054934924    -0.064712351      0.000000000    -0.093750000
    65    -0.040455609    -0.062930582      0.000000000     0.000000000
    66    -0.026634598    -0.061625823      0.000000000     0.000000000
    67    -0.013257192    -0.060810492      0.000000000     0.000000000
    68    -0.000104698    -0.060494503      0.000000000     0.000000000
    69     0.013045933    -0.060681979      0.000000000     0.000000000
    70     0.026418561    -0.061369816      0.000000000     0.000000000
    71     0.040234258    -0.062548816      0.000000000     0.000000000
    72     0.054711348    -0.064206471      0.000000000     0.000000000
    73    -0.061090656    -0.080354643      0.000000000    -0.093750000
    74    -0.045101266    -0.078671946      0.000000000     0.000000000
    75    -0.029751836    -0.077439451      0.000000000     0.000000000
    76    -0.014830766    -0.076668896      0.000000000     0.000000000
    77    -0.000125287    -0.076368422      0.000000000     0.000000000
    78     0.014579128    -0.076541259      0.000000000     0.000000000
    79     0.029497571    -0.077184956      0.000000000     0.000000000
    80     0.044844389    -0.078291833      0.000000000     0.000000000
    81     0.060833358    -0.079849959      0.000000000     0.000000000
    82    -0.066875977    -0.097450104      0.000000000    -0.093750000
    83    -0.049468378    -0.095863505      0.000000000     0.000000000
    84    -0.032681688    -0.094700295      0.000000000     0.000000000
    85    -0.016309495    -0.093972029      0.000000000     0.000000000
    86    -0.000145154    -0.093686103      0.000000000     0.000000000
    87     0.016018635    -0.093845272      0.000000000     0.000000000
    88     0.032389527    -0.094447307      0.000000000     0.000000000
    89     0.049175122    -0.095485082      0.000000000     0.000000000
    90     0.066583024    -0.096946856      0.000000000     0.000000000
    91    -0.072301423    -0.115906911      0.000000000    -0.093750000
    92    -0.053565432    -0.114413395      0.000000000     0.000000000
    93    -0.035430824    -0.113316935      0.000000000     0.000000000
    94    -0.017697286    -0.112629072      0.000000000     0.000000000
    95    -0.000164524    -0.112356920      0.000000000     0.000000000
    96     0.017367986    -0.112503007      0.000000000     0.000000000
    97     0.035100971    -0.113065124      0.000000000     0.000000000
    98     0.053235253    -0.114036308      0.000000000     0.000000000
    99     0.071971736    -0.115404873      0.000000000     0.000000000
   100    -0.077378195    -0.135636165      0.000000000    -0.093750000
   101    -0.057400986    -0.134232699      0.000000000     0.000000000
   102    -0.038005370    -0.133200667      0.000000000     0.000000000
   103    -0.018997500    -0.132551636      0.000000000     0.000000000
   104    -0.000183585    -0.132292621      0.000000000     0.000000000
   105     0.018630237    -0.132426044      0.000000000     0.000000000
   106     0.037637937    -0.132949663      0.000000000     0.000000000
   107     0.057033568    -0.133856535      0.000000000     0.000000000
   108     0.077011229    -0.135134994      0.000000000     0.000000000
   109    -0.082117756    -0.156551947      0.000000000    -0.093750000
   110    -0.060983664    -0.155235489      0.000000000     0.000000000
   111    -0.040411240    -0.154265650      0.000000000     0.000000000
   112    -0.020213241    -0.153654023      0.000000000     0.000000000
   113    -0.000202470    -0.153407591      0.000000000     0.000000000
   114     0.019808284    -0.153528726      0.000000000     0.000000000
   115     0.040006285    -0.154015148      0.000000000     0.000000000
   116     0.060578841    -0.154859902      0.000000000     0.000000000
   117     0.081713271    -0.156051335      0.000000000     0.000000000
   118    -0.086531670    -0.178571300      0.000000000    -0.093750000
   119    -0.064322138    -0.177338803      0.000000000     0.000000000
   120    -0.042654276    -0.176428955      0.000000000     0.000000000
   121    -0.021347502    -0.175853365      0.000000000     0.000000000
   122    -0.000221264    -0.175619011      0.000000000     0.000000000
   123     0.020904987    -0.175728236      0.000000000     0.000000000
   124     0.042211823    -0.176178737      0.000000000     0.000000000
   125     0.063879828    -0.176963546      0.000000000     0.000000000
   126     0.086089587    -0.178071017      0.000000000     0.000000000
   127    -0.090631543    -0.201614207      0.000000000    -0.093750000
   128    -0.067425102    -0.200462620      0.000000000     0.000000000
   129    -0.044740298    -0.199610572      0.000000000     0.000000000
   130    -0.022403230    -0.199069684      0.000000000     0.000000000
   131    -0.000240017    -0.198846930      0.000000000     0.000000000
   132     0.021923219    -0.198944642      0.000000000     0.000000000
   133     0.044260355    -0.199360502      0.000000000     0.000000000
   134     0.066945276    -0.200087535      0.000000000     0.000000000
   135     0.090151855    -0.201114101      0.000000000     0.000000000
   136    -0.094428999    -0.225603580      0.000000000    -0.093750000
   137    -0.070301268    -0.224529851      0.000000000     0.000000000
   138    -0.046675123    -0.223733417      0.000000000     0.000000000
   139    -0.023383351    -0.223225906      0.000000000     0.000000000
   140    -0.000258754    -0.223014293      0.000000000     0.000000000
   141     0.022865863    -0.223100904      0.000000000     0.000000000
   142     0.046157691    -0.223483414      0.000000000     0.000000000
   143     0.069783918    -0.224154844      0.000000000     0.000000000
   144     0.093911726    -0.225103559      0.000000000     0.000000000
   145    -0.097935669    -0.250465252      0.000000000    -0.093750000
   146    -0.072959353    -0.249466326      0.000000000     0.000000000
   147    -0.048464563    -0.248723324      0.000000000     0.000000000
   148    -0.024290780    -0.248247874      0.000000000     0.000000000
   149    -0.000277489    -0.248046954      0.000000000     0.000000000
   150     0.023735817    -0.248122887      0.000000000     0.000000000
   151     0.047909641    -0.248473345      0.000000000     0.000000000
   152     0.072404483    -0.249091348      0.000000000     0.000000000
   153     0.097380837    -0.249965265      0.000000000     0.000000000
   154    -0.101163187    -0.276127970      0.000000000    -0.093750000
   155    -0.075408080    -0.275200794      0.000000000     0.000000000
   156    -0.050114436    -0.274509041      0.000000000     0.000000000
   157    -0.025128426    -0.274064341      0.000000000     0.000000000
